iter	Passed	Remaining
617	1770	1094
618	1773	1091
619	1775	1088
620	1778	1085
621	1780	1082
622	1784	1079
623	1787	1076
624	1790	1074
625	1793	1071
626	1796	1068
627	1799	1065
628	1801	1062
629	1803	1059
630	1805	1055
631	1809	1053
632	1811	1050
633	1813	1046
634	1815	1043
635	1817	1040
636	1818	1036
637	1822	1033
638	1825	1031
639	1827	1028
640	1829	1024
641	1831	1021
642	1832	1017
643	1834	1013
644	1836	1010
645	1838	1007
646	1840	1004
647	1842	1000
648	1843	997
649	1845	993
650	1847	990
651	1849	987
652	1852	984
653	1855	981
654	1858	978
655	1860	975
656	1863	972
657	1865	969
658	1868	966
659	1871	964
660	1873	960
661	1875	957
662	1877	954
663	1878	950
664	1880	947
665	1882	944
666	1884	940
667	1885	937
668	1887	933
669	1888	930
670	1890	926
671	1891	923
672	1897	921
673	1901	919
674	1904	916
675	1909	915
676	1913	912
677	1916	910
678	1918	907
679	1921	904
680	1925	901
681	1927	898
682	1931	896
683	1933	893
684	1936	890
685	1939	887
686	1943	885
687	1945	882
688	1949	879
689	1954	877
690	1958	875
691	1960	872
692	1962	869
693	1964	866
694	1967	863
695	1970	860
696	1973	857
697	1975	854
698	1978	851
699	1981	849
700	1984	846
701	1987	843
702	1990	840
703	1992	837
704	1995	835
705	1997	831
706	1999	828
707	2002	825
708	2004	822
709	2007	819
710	2008	816
711	2012	814
712	2014	810
713	2015	807
714	2018	804
715	2021	801
716	2025	799
717	2028	796
718	2029	793
719	2030	789
720	2032	786
721	2033	782
722	2035	779
723	2036	776
724	2038	773
725	2040	769
726	2041	766
727	2043	763
728	2044	760
729	2046	756
730	2048	753
731	2050	750
732	2052	747
733	2055	744
734	2056	741
735	2058	738
736	2060	735
737	2063	732
738	2066	729
739	2068	726
740	2071	723
741	2074	721
742	2076	718
743	2078	715
744	2080	712
745	2082	708
746	2083	705
747	2085	702
748	2086	699
749	2088	696
750	2090	693
751	2091	689
752	2093	686
753	2095	683
754	2096	680
755	2098	677
756	2100	674
757	2101	671
758	2103	667
759	2105	665
760	2107	661
761	2109	658
762	2111	655
763	2113	652
764	2114	649
765	2116	646
766	2117	643
767	2119	640
768	2121	637
769	2122	634
770	2124	631
771	2126	627
772	2128	625
773	2130	621
774	2132	618
775	2134	616
776	2136	613
777	2138	610
778	2140	607
779	2143	604
780	2146	601
781	2149	599
782	2152	596
783	2155	593
784	2158	591
785	2159	588
786	2161	584
787	2162	581
788	2164	578
789	2166	575
790	2169	573
791	2171	570
792	2173	567
793	2175	564
794	2176	561
795	2178	558
796	2180	555
797	2183	552
798	2185	549
799	2187	546
800	2189	543
801	2190	540
802	2192	537
803	2194	534
804	2197	532
805	2199	529
806	2201	526
807	2203	523
